Specie_FAO,Peso_medio_ind_kg,kg_2019,kg_2020,kg_2021,kg_2022,kg_2023,Media_kg_5anni,Individui_annui,Percentuale_ind
"Abalone (Haliotis spp.), frozen",1.5,7.12,2.7,0.9,3.9799999999999995,6.37,4.214,2809.3333333333335,0.00013744326710330205
"Abalone meat, prepared or preserved",1.5,0.05,0.01,0.09,0.02,0.0,0.033999999999999996,22.66666666666666,1.1089395067660814e-06
"Abalones, dried, salted or in brine, smoked",1.5,0.0,0.0,0.0,0.0,0.62,0.124,82.66666666666667,4.044367612911593e-06
"Abalones, shucked or not, live,fresh or chilled",1.5,17.1,14.510000000000002,7.2299999999999995,20.150000000000002,5.32,12.862,8574.666666666666,0.0004195052922360395
Agar agar nei,1.5,77.18,47.97,78.57,105.73,226.7,107.22999999999999,71486.66666666666,0.0034973995091331454
"Alaska pollock fillets, frozen",1.5,35862.79,35840.99,29656.93,29103.87,31698.660000000003,32432.647999999997,21621765.333333332,1.057818961065822
"Alaska pollock, fresh or chilled",1.5,212.97,267.09000000000003,253.51000000000002,215.32999999999998,93.86,208.552,139034.66666666666,0.006802104471031761
"Alaska pollock, frozen",1.5,1036.07,230.07,115.59,0.73,19.310000000000002,280.3539999999999,186902.66666666663,0.009143989014114649
"Alaska pollock, meat, whether or not minced, frozen",1.5,2010.48,606.89,766.15,741.5899999999999,1780.75,1181.172,787448.0,0.03852494985546783
"Alaska pollock, not minced, prepared or preserved",1.5,20572.61,21326.66,21792.58,18048.42,16056.74,19559.402000000002,13039601.333333334,0.6379468707799858
"Albacore (=Longfin tuna), fresh or chilled",1.5,101.81,96.36,40.5,41.52,58.540000000000006,67.74600000000001,45164.00000000001,0.0022095945830992647
"Albacore (=Longfin tuna), frozen, nei",1.5,9.21,3.81,2.9099999999999997,1.27,0.28,3.496000000000001,2330.6666666666674,0.0001140250739898301
"American/European lobsters (Homarus spp.), live, fresh or chilled, nei",1.5,1.79,1.95,3.2600000000000002,3.04,3.08,2.6239999999999997,1749.333333333333,8.558403722806465e-05
"American/European lobsters (Homarus spp.), meat or tails, even smoked, frozen",1.5,120.77,82.55,192.07,450.5,275.78000000000003,224.334,149556.0,0.0073168480973783
"American/European lobsters (Homarus spp.), meat or tails, fresh or chilled",1.5,20.38,21.860000000000003,34.05,4.3100000000000005,6.59,17.438,11625.333333333334,0.0005687555034996158
"American/European lobsters (Homarus spp.), nei, even smoked, frozen",1.5,1.7899999999999998,1.29,1.23,1.74,0.71,1.352,901.3333333333334,4.4096653327874784e-05
"American/European lobsters (Homarus spp.), whole, even smoked, frozen",1.5,316.68,430.99,402.8,453.58,413.65000000000003,403.54,269026.6666666667,0.013161807310599549
